Area,Parent Task,Task,Dataset,Best method name,Primary metric,Metric first reported value,2013,2014,2015,2016,2017,2018,2019,Metric first reported value scaled,2013 scaled,2014 scaled,2015 scaled,2016 scaled,2017 scaled,2018 scaled,2019 scaled
Natural Language Processing,Text Generation,Data-to-Text Generation,WebNLG,GCN EC,BLEU,0.56,,,,,,0.56,0.56,0.41,,,,,,0.37,0.37
Natural Language Processing,Sarcasm Detection,Sarcasm Detection,SARC (all-bal),CASCADE,Accuracy,75.8,,,,,75.8,77,77,76.38,,,,,77.49,77.58,77.58
Natural Language Processing,Sarcasm Detection,Sarcasm Detection,SARC (pol-bal),Bag-of-Bigrams,Accuracy,76.5,,,,,76.5,76.5,76.5,77.08,,,,,78.2,77.07,77.07
Natural Language Processing,Sarcasm Detection,Sarcasm Detection,SARC (pol-unbal),Bag-of-Words,Avg F1,27,,,,,27,27,27,27.11,,,,,27.5,27.08,27.08
Natural Language Processing,Stance Detection,Stance Detection,RumourEval,Kochkina et al. 2017,Accuracy,0.78,,,,,0.78,0.78,0.78,0.64,,,,,0.65,0.6,0.6
Natural Language Processing,Sentence Embeddings,Sentence Compression,Google Dataset,BiLSTM,CR,0.43,,,,,0.43,0.43,0.43,0.28,,,,,0.29,0.24,0.24
Natural Language Processing,Machine Translation,Unsupervised Machine Translation,WMT2014 French-English,SMT + NMT (tuning and joint refinement),BLEU,27.7,,,,,,27.7,33.5,27.81,,,,,,27.79,33.64
Natural Language Processing,Machine Translation,Unsupervised Machine Translation,WMT2016 English-German,SMT + NMT (tuning and joint refinement),BLEU,20.2,,,,,,20.2,26.9,20.24,,,,,,20.21,26.98
Natural Language Processing,Machine Translation,Unsupervised Machine Translation,WMT2016 German-English,SMT + NMT (tuning and joint refinement),BLEU,25.2,,,,,,26.7,34.4,25.29,,,,,,26.78,34.55
Natural Language Processing,Machine Translation,Unsupervised Machine Translation,WMT2014 English-French,SMT + NMT (tuning and joint refinement),BLEU,27.6,,,,,,27.6,36.2,27.71,,,,,,27.68,36.37
Natural Language Processing,Machine Translation,Unsupervised Machine Translation,WMT2014 German-English,SMT + NMT (tuning and joint refinement),BLEU,20.4,,,,,,,27,20.44,,,,,,,27.08
Natural Language Processing,Machine Translation,Unsupervised Machine Translation,WMT2014 English-German,SMT + NMT (tuning and joint refinement),BLEU,17,,,,,,,22.5,17.01,,,,,,,22.53
Natural Language Processing,Machine Translation,Unsupervised Machine Translation,WMT2016 Romanian-English,MLM pretraining for encoder and decoder,BLEU,31.8,,,,,,,31.8,31.95,,,,,,,31.93
Natural Language Processing,Information Extraction,Temporal Information Extraction,TimeBank,Catena,F1 score,0.51,,,,0.51,0.51,0.51,0.51,0.36,,,,0.23,0.37,0.32,0.32
Natural Language Processing,Information Extraction,Temporal Information Extraction,TempEval-3,Ning et al.,Temporal awareness,67.2,,,,,67.2,67.2,67.2,67.69,,,,,68.68,67.68,67.68
Natural Language Processing,Graph-to-Sequence,Graph-to-Sequence,LDC2015E86:,GCNSEQ,BLEU,23.95,,,,,,,23.95,24.03,,,,,,,24
Natural Language Processing,Cross-Lingual,Cross-Lingual Document Classification,MLDoc Zero-Shot English-to-Spanish,Massively Multilingual Sentence Embeddings,Accuracy,0.73,,,,,,0.77,0.77,0.59,,,,,,0.59,0.59
Natural Language Processing,Cross-Lingual,Cross-Lingual Document Classification,MLDoc Zero-Shot English-to-French,Massively Multilingual Sentence Embeddings,Accuracy,0.75,,,,,,0.78,0.78,0.61,,,,,,0.6,0.6
Natural Language Processing,Cross-Lingual,Cross-Lingual Document Classification,MLDoc Zero-Shot English-to-German,Massively Multilingual Sentence Embeddings,Accuracy,0.81,,,,,,0.85,0.85,0.67,,,,,,0.67,0.67
Natural Language Processing,Text Summarization,Extractive Document Summarization,CNN / Daily Mail,BERTSUM,ROUGE-2,20.24,,,,,,,20.24,20.28,,,,,,,20.25
Natural Language Processing,Grammatical Error Correction,Grammatical Error Detection,CoNLL-2014 A1,Bi-LSTM + POS (unrestricted data),F0.5,34.3,,,,34.3,36.1,36.1,36.1,34.48,,,,34.89,36.82,36.27,36.27
Natural Language Processing,Grammatical Error Correction,Grammatical Error Detection,CoNLL-2014 A2,Bi-LSTM + POS (unrestricted data),F0.5,44,,,,44,45.1,45.1,45.1,44.27,,,,44.84,46.04,45.36,45.36
Natural Language Processing,Grammatical Error Correction,Grammatical Error Detection,FCE,BiLSTM-JOINT,F0.5,41.1,,,,41.88,49.11,52.07,52.07,41.34,,,,42.66,50.15,52.4,52.4
Natural Language Processing,Grammatical Error Correction,Grammatical Error Detection,JFLEG,BiLSTM-JOINT (trained on FCE),F0.5,52.52,,,,,,52.52,52.52,52.87,,,,,,52.85,52.85
Natural Language Processing,Natural Language Inference,Cross-Lingual Natural Language Inference,XNLI Zero-Shot English-to-Spanish,BERT,Accuracy,0.69,,,,,0.69,0.74,0.74,0.55,,,,,0.55,0.56,0.56
Natural Language Processing,Natural Language Inference,Cross-Lingual Natural Language Inference,XNLI Zero-Shot English-to-German,BiLSTM,Accuracy,0.68,,,,,0.68,0.73,0.73,0.54,,,,,0.54,0.55,0.55
Natural Language Processing,Natural Language Inference,Cross-Lingual Natural Language Inference,XNLI Zero-Shot English-to-French,BiLSTM,Accuracy,0.68,,,,,0.68,0.72,0.72,0.54,,,,,0.54,0.54,0.54
Natural Language Processing,Text Classification,Citation Intent Classification,ACL-ARC,Structural-scaffolds,F1,41,41,41,41,51.8,51.8,54.6,67.9,41.24,0,44.17,41.68,52.84,52.9,54.95,68.39
Natural Language Processing,Text Classification,Citation Intent Classification,SciCite,SciBERT,F1,79.6,,,,,,82.6,84.99,80.21,,,,,,83.23,85.65
Natural Language Processing,Question Answering,Knowledge Base Question Answering,WebQSP-WD,GGNN,Avg F1,0.26,,,,,,0.26,0.26,0.11,,,,,,0.07,0.07
Natural Language Processing,Relationship Extraction (Distant Supervised),Relationship Extraction (Distant Supervised),New York Times Corpus,RESIDE,P@10%,69.4,,,,69.4,69.4,73.6,73.6,69.91,,,,70.89,70.93,74.14,74.14
Natural Language Processing,CCG Supertagging,CCG Supertagging,CCGBank,Clark et al.,Accuracy,94.7,,,,94.7,94.7,96.1,96.1,95.46,,,,96.84,96.85,96.87,96.87
Natural Language Processing,Text Generation,Table-to-text Generation,WikiBio,Field-gating Seq2seq + dual attention,BLEU,34.7,,,,34.7,44.89,44.89,44.89,34.88,,,,35.3,45.83,45.15,45.15
Natural Language Processing,Passage Re-Ranking,Passage Re-Ranking,MS MARCO,BERT + Small Training,MRR,0.36,,,,,,,0.36,0.21,,,,,,,0.17
Natural Language Processing,Named Entity Recognition (NER),Chinese Named Entity Recognition,Weibo NER,Lattice,F1,58.79,,,,,,58.79,58.79,59.2,,,,,,59.19,59.19
Natural Language Processing,Named Entity Recognition (NER),Chinese Named Entity Recognition,MSRA,Lattice,F1,93.18,,,,,,93.18,93.18,93.92,,,,,,93.92,93.92
Natural Language Processing,Named Entity Recognition (NER),Chinese Named Entity Recognition,OntoNotes 4,Lattice,F1,73.88,,,,,,73.88,73.88,74.44,,,,,,74.43,74.43
Natural Language Processing,Named Entity Recognition (NER),Chinese Named Entity Recognition,Resume NER,Lattice,F1,94.46,,,,,,94.46,94.46,95.21,,,,,,95.21,95.21
Natural Language Processing,Named Entity Recognition (NER),Chinese Named Entity Recognition,SighanNER,BiLSTM+CRF+adversarial+self-attention,F1,90.64,,,,,,90.64,90.64,91.36,,,,,,91.35,91.35
Natural Language Processing,Emotion Recognition,Emotion Recognition in Conversation,IEMOCAP,DialogueRNN,F1,0.56,,,,,,0.65,0.65,0.41,,,,,,0.46,0.46
Natural Language Processing,Hypernym Discovery,Hypernym Discovery,General,CRIM,MAP,10.6,,,,10.6,10.6,19.78,19.78,10.55,,,,10.58,10.7,19.79,19.79
Natural Language Processing,Hypernym Discovery,Hypernym Discovery,Medical domain,CRIM,MAP,18.84,,,,18.84,18.84,34.05,34.05,18.87,,,,19.03,19.14,34.2,34.2
Natural Language Processing,Hypernym Discovery,Hypernym Discovery,Music domain,CRIM,MAP,12.99,,,,12.99,12.99,40.97,40.97,12.96,,,,13.03,13.15,41.19,41.19
Natural Language Processing,Cross-Lingual Bitext Mining,Cross-Lingual Bitext Mining,BUCC German-to-English,Massively Multilingual Sentence Embeddings,F1 score,76.9,,,76.9,76.9,76.9,96.19,96.19,77.49,,,78.55,78.58,78.61,96.96,96.96
Natural Language Processing,Cross-Lingual Bitext Mining,Cross-Lingual Bitext Mining,BUCC French-to-English,Massively Multilingual Sentence Embeddings,F1 score,75.8,,,75.8,75.8,75.8,93.91,93.91,76.38,,,77.42,77.45,77.49,94.66,94.66
Natural Language Processing,Semantic Role Labeling,Predicate Detection,CoNLL 2005,LISA,F1,96.4,,,,,96.4,98.4,98.4,97.17,,,,,98.59,99.19,99.19
Natural Language Processing,Semantic Role Labeling,Predicate Detection,CoNLL 2012,LISA,F1,97.2,,,,,,97.2,97.2,97.98,,,,,,97.98,97.98
Natural Language Processing,Dialogue,Dialogue Act Classification,Switchboard corpus,CRF-ASN,Accuracy,79.2,,,,,81.3,81.3,81.3,79.81,,,,,83.12,81.92,81.92
Natural Language Processing,Dialogue,Dialogue Act Classification,ICSI Meeting Recorder Dialog Act (MRDA) corpus,CRF-ASN,Accuracy,90.9,,,,,91.7,91.7,91.7,91.62,,,,,93.77,92.43,92.43
Natural Language Processing,Entity Resolution,Entity Resolution,CoNLL 2003 (English),deep joint entity disambiguation w/ neural attention,Accuracy,92.22,,,,,92.22,92.22,92.22,92.95,,,,,94.31,92.95,92.95
Natural Language Processing,Semantic Role Labeling,Semantic Role Labeling (predicted predicates),CoNLL 2005,LISA + ELMo,F1,86.9,,,,,,86.9,86.9,87.58,,,,,,87.58,87.58
Natural Language Processing,Semantic Role Labeling,Semantic Role Labeling (predicted predicates),CoNLL 2012,LISA + ELMo,F1,83.38,,,,,,83.38,83.38,84.03,,,,,,84.02,84.02
Natural Language Processing,Anaphora Resolution,Abstract Anaphora Resolution,The ARRAU Corpus,MR-LSTM,Average Precision,43.83,,,,,43.83,43.83,43.83,44.1,,,,,44.74,44.08,44.08
Natural Language Processing,Query Wellformedness,Query Wellformedness,Query Wellformedness,"word-1, 2 POS-1, 2, 3",Accuracy,70.7,,,,,,70.7,70.7,71.23,,,,,,71.22,71.22
Natural Language Processing,Lexical Normalization,Lexical Normalization,LexNorm,MoNoise,Accuracy,87.63,,,,,87.63,87.63,87.63,88.32,,,,,89.6,88.31,88.31
