Area,Parent Task,Task,Dataset,Best method name,Primary metric,earliest reported value,latest reported value,earliest reported value scaled,earliest  Percentile ( low/ high),latest reported  value scaled,Latest Percentile  ( low/ high),Bucket
Natural Language Processing,Cross-Lingual,Cross-Lingual Document Classification,MLDoc Zero-Shot English-to-French,Massively Multilingual Sentence Embeddings,Accuracy,0.75,0.78,0.61,Low,0.6,Low,1
Natural Language Processing,Cross-Lingual,Cross-Lingual Document Classification,MLDoc Zero-Shot English-to-German,Massively Multilingual Sentence Embeddings,Accuracy,0.81,0.85,0.67,Low,0.67,Low,1
Natural Language Processing,Text Summarization,Extractive Document Summarization,CNN / Daily Mail,BERTSUM,ROUGE-2,20.24,20.24,20.28,Low,20.25,Low,1
Natural Language Processing,Grammatical Error Correction,Grammatical Error Detection,CoNLL-2014 A1,Bi-LSTM + POS (unrestricted data),F0.5,34.3,36.1,34.48,Low,36.27,Low,1
Natural Language Processing,Grammatical Error Correction,Grammatical Error Detection,CoNLL-2014 A2,Bi-LSTM + POS (unrestricted data),F0.5,44,45.1,44.27,Low,45.36,Low,1
Natural Language Processing,Grammatical Error Correction,Grammatical Error Detection,FCE,BiLSTM-JOINT,F0.5,41.1,52.07,41.34,Low,52.4,High,2
Natural Language Processing,Grammatical Error Correction,Grammatical Error Detection,JFLEG,BiLSTM-JOINT (trained on FCE),F0.5,52.52,52.52,52.87,High,52.85,High,1
Natural Language Processing,Natural Language Inference,Cross-Lingual Natural Language Inference,XNLI Zero-Shot English-to-Spanish,BERT,Accuracy,0.69,0.74,0.55,Low,0.56,Low,1
Natural Language Processing,Natural Language Inference,Cross-Lingual Natural Language Inference,XNLI Zero-Shot English-to-German,BiLSTM,Accuracy,0.68,0.73,0.54,Low,0.55,Low,1
Natural Language Processing,Natural Language Inference,Cross-Lingual Natural Language Inference,XNLI Zero-Shot English-to-French,BiLSTM,Accuracy,0.68,0.72,0.54,Low,0.54,Low,1
Natural Language Processing,Text Classification,Citation Intent Classification,ACL-ARC,Structural-scaffolds,F1,41,67.9,41.24,Low,68.39,High,2
Natural Language Processing,Text Classification,Citation Intent Classification,SciCite,SciBERT,F1,79.6,84.99,80.21,High,85.65,High,4
Natural Language Processing,Question Answering,Knowledge Base Question Answering,WebQSP-WD,GGNN,Avg F1,0.26,0.26,0.11,Low,0.07,Low,1
Natural Language Processing,Relationship Extraction (Distant Supervised),Relationship Extraction (Distant Supervised),New York Times Corpus,RESIDE,P@10%,69.4,73.6,69.91,High,74.14,High,4
Natural Language Processing,CCG Supertagging,CCG Supertagging,CCGBank,Clark et al.,Accuracy,94.7,96.1,95.46,High,96.87,High,4
Natural Language Processing,Text Generation,Table-to-text Generation,WikiBio,Field-gating Seq2seq + dual attention,BLEU,34.7,44.89,34.88,Low,45.15,Low,1
Natural Language Processing,Passage Re-Ranking,Passage Re-Ranking,MS MARCO,BERT + Small Training,MRR,0.36,0.36,0.21,Low,0.17,Low,1
Natural Language Processing,Named Entity Recognition (NER),Chinese Named Entity Recognition,Weibo NER,Lattice,F1,58.79,58.79,59.2,High,59.19,High,4
Natural Language Processing,Named Entity Recognition (NER),Chinese Named Entity Recognition,MSRA,Lattice,F1,93.18,93.18,93.92,High,93.92,High,4
Natural Language Processing,Named Entity Recognition (NER),Chinese Named Entity Recognition,OntoNotes 4,Lattice,F1,73.88,73.88,74.44,High,74.43,High,4
Natural Language Processing,Named Entity Recognition (NER),Chinese Named Entity Recognition,Resume NER,Lattice,F1,94.46,94.46,95.21,High,95.21,High,4
Natural Language Processing,Named Entity Recognition (NER),Chinese Named Entity Recognition,SighanNER,BiLSTM+CRF+adversarial+self-attention,F1,90.64,90.64,91.36,High,91.35,High,4
Natural Language Processing,Emotion Recognition,Emotion Recognition in Conversation,IEMOCAP,DialogueRNN,F1,0.56,0.65,0.41,Low,0.46,Low,1
Natural Language Processing,Hypernym Discovery,Hypernym Discovery,General,CRIM,MAP,10.6,19.78,10.55,Low,19.79,Low,1
Natural Language Processing,Hypernym Discovery,Hypernym Discovery,Medical domain,CRIM,MAP,18.84,34.05,18.87,Low,34.2,Low,1
Natural Language Processing,Hypernym Discovery,Hypernym Discovery,Music domain,CRIM,MAP,12.99,40.97,12.96,Low,41.19,Low,1
Natural Language Processing,Cross-Lingual Bitext Mining,Cross-Lingual Bitext Mining,BUCC German-to-English,Massively Multilingual Sentence Embeddings,F1 score,76.9,96.19,77.49,High,96.96,High,4
Natural Language Processing,Cross-Lingual Bitext Mining,Cross-Lingual Bitext Mining,BUCC French-to-English,Massively Multilingual Sentence Embeddings,F1 score,75.8,93.91,76.38,High,94.66,High,4
Natural Language Processing,Semantic Role Labeling,Predicate Detection,CoNLL 2005,LISA,F1,96.4,98.4,97.17,High,99.19,High,4
Natural Language Processing,Semantic Role Labeling,Predicate Detection,CoNLL 2012,LISA,F1,97.2,97.2,97.98,High,97.98,High,4
Natural Language Processing,Dialogue,Dialogue Act Classification,Switchboard corpus,CRF-ASN,Accuracy,79.2,81.3,79.81,High,81.92,High,4
Natural Language Processing,Dialogue,Dialogue Act Classification,ICSI Meeting Recorder Dialog Act (MRDA) corpus,CRF-ASN,Accuracy,90.9,91.7,91.62,High,92.43,High,4
Natural Language Processing,Entity Resolution,Entity Resolution,CoNLL 2003 (English),deep joint entity disambiguation w/ neural attention,Accuracy,92.22,92.22,92.95,High,92.95,High,4
Natural Language Processing,Semantic Role Labeling,Semantic Role Labeling (predicted predicates),CoNLL 2005,LISA + ELMo,F1,86.9,86.9,87.58,High,87.58,High,4
Natural Language Processing,Semantic Role Labeling,Semantic Role Labeling (predicted predicates),CoNLL 2012,LISA + ELMo,F1,83.38,83.38,84.03,High,84.02,High,4
Natural Language Processing,Anaphora Resolution,Abstract Anaphora Resolution,The ARRAU Corpus,MR-LSTM,Average Precision,43.83,43.83,44.1,Low,44.08,Low,1
Natural Language Processing,Query Wellformedness,Query Wellformedness,Query Wellformedness,"word-1, 2 POS-1, 2, 3",Accuracy,70.7,70.7,71.23,High,71.22,High,4
Natural Language Processing,Lexical Normalization,Lexical Normalization,LexNorm,MoNoise,Accuracy,87.63,87.63,88.32,High,88.31,High,4
,,,,,,,,44.99,,48.17,,
